Geneid	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
7088_12	10	0	14	13	1	1	0	0	0	25
7088_13	10	0	6	13	0	3	2	2	5	15
7088_14	21	0	33	18	3	0	1	0	0	22
7088_15	10	3	13	13	3	0	0	0	0	15
7088_16	17	0	9	11	2	1	0	0	0	18
7088_17	4	0	3	2	2	0	0	0	0	5
7088_18	5	0	7	9	0	0	0	0	0	10
7088_19	6	0	3	4	3	1	0	0	0	6
7088_20	8	2	4	5	0	0	0	0	0	4
7088_21	1	0	0	1	0	0	0	0	0	1
7090_1	0	0	0	0	0	0	0	0	0	4
7090_2	0	0	0	0	0	1	0	0	6	16
7092_1	7	0	2	18	2	7	0	2	4	8
7094_1	0	0	3	9	1	0	0	0	3	0
7097_1	7	0	1	15	2	0	1	1	4	9
7097_2	0	0	0	0	0	0	0	0	0	0
7099_1	2	3	318	6	3	8	0	1	9	4
7099_2	0	0	1	3	0	1	0	0	5	0
7101_1	6	3	3	2	9	1	0	0	11	11
7128_1	1	0	1	0	0	0	1	0	1	7
7128_2	0	0	1	1	1	0	0	1	3	39
7128_3	1	0	1	0	0	0	0	0	2	45
7128_4	0	0	0	0	0	1	0	0	6	25
7128_5	6	2	3	2	5	3	4	1	9	123
7128_6	0	0	0	0	1	0	1	1	0	3
7128_7	0	0	0	0	0	0	0	1	1	5
7128_8	0	1	3	2	0	0	0	0	1	19
7128_9	0	0	2	0	0	0	1	0	0	14
7128_10	1	0	2	0	1	2	0	0	1	13
7128_11	0	0	0	0	0	1	0	0	1	10
7128_12	0	0	0	0	0	0	0	0	0	12
7128_13	0	1	2	0	1	3	0	1	0	12
7128_14	0	0	0	0	1	0	0	0	2	16
7128_15	0	2	0	0	2	2	0	0	6	55
7128_16	1	1	0	0	1	0	1	1	1	16
7128_17	1	2	0	1	3	1	3	2	2	31
7128_18	0	1	3	0	4	4	1	0	3	64
7128_19	0	2	0	0	0	0	0	0	2	7
7128_20	0	1	1	0	3	1	0	0	0	10
7128_21	1	0	0	1	3	0	0	1	0	16
7128_22	0	1	0	0	0	0	0	0	0	1
7128_23	0	0	0	1	0	0	2	0	1	7
7128_24	0	0	0	0	0	0	0	0	0	15
7128_25	0	0	1	1	5	2	0	1	1	48
7128_26	0	0	0	0	1	0	0	0	1	30
7128_27	0	2	1	2	0	1	0	0	0	18
7128_28	0	1	0	0	2	0	0	1	4	25
7128_29	0	0	0	0	0	0	0	0	0	21
7128_30	0	1	0	0	0	0	0	1	2	16
7128_31	0	0	0	0	0	0	0	0	1	7
7128_32	0	0	0	0	1	0	0	0	0	10
7128_33	0	0	0	0	0	0	0	0	0	15
7128_34	0	0	0	0	0	3	0	0	1	36
7128_35	0	0	0	1	0	0	1	1	0	31
7128_36	0	2	0	1	1	1	0	1	0	1
7128_37	0	0	0	0	0	0	0	0	3	4
7134_1	0	0	0	0	0	0	0	0	13	0
7134_2	0	0	0	0	0	0	0	0	3	0
7140_1	0	0	14	29	0	0	0	0	1	0
7140_2	2	0	5	33	0	0	0	0	1	0
7140_3	0	0	1	14	0	0	0	0	2	0
7144_1	2	6	2	2	3	3	5	0	0	1
7144_2	1	3	2	1	1	1	2	0	0	3
