Sequence	SRR22405441	SRR22405442	SRR22405445	SRR22405453	SRR22405460	SRR22405461	SRR22405467	SRR22405532	SRR22405538	SRR22405544
k141_63050	0	3	0	0	18	18	4	13	0	1
k141_88121	0	0	6	39	0	2	0	0	0	0
k141_25319	2	6	0	0	2	45	1	19	0	2
k141_63054	0	0	0	0	0	14	0	0	0	0
k141_88123	3	7	1	16	10	11	0	0	13	14
k141_25321	0	0	0	0	0	22	0	0	0	0
k141_305	2	5	4	3	8	6	8	2	0	3
k141_88126	10	0	4	20	2	0	0	0	2	9
k141_308	4	0	7	6	0	0	0	0	2	0
k141_88127	0	0	0	0	11	0	27	0	0	3
k141_25326	3	0	0	0	0	1	0	0	24	0
k141_312	1	0	0	0	0	0	1	0	26	3
k141_25332	13	2	3	7	11	43	0	2	74	12
k141_88133	1	1	1	4	0	8	0	0	27	49
k141_25338	0	0	3	7	0	0	0	0	1	0
k141_316	73	277	42	30	196	79	273	0	0	13
k141_63059	6	1	37	206	0	3	0	0	9	5
k141_25340	0	0	0	0	0	19	0	0	0	0
k141_25341	3	0	10	3	0	0	0	0	2	2
k141_63062	0	3	0	0	11	10	0	4	0	0
k141_88141	0	0	0	0	9	0	12	0	0	0
k141_325	2	0	0	0	0	4	0	0	15	4
k141_326	2	0	0	4	2	0	1	0	1	10
k141_25346	2	0	0	0	5	0	15	0	0	0
k141_63066	6	4	0	1	8	2	6	0	0	4
k141_25350	2	2	7	4	6	1	0	0	4	3
k141_63073	0	1	1	1	0	1	0	0	3	13
k141_337	1	0	0	0	1	17	0	0	18	5
k141_63075	4	1	3	10	1	1	0	0	9	2
k141_25365	0	0	3	8	0	2	0	0	13	0
k141_343	11	2	3	4	14	3	8	1	0	1
k141_63084	0	0	6	9	0	0	0	0	4	0
k141_37915	4228	3	1727	277	5	37	0	1	19	1204
k141_347	1	6	0	4	5	0	4	0	0	6
k141_348	1	0	0	0	0	15	0	0	5	1
k141_25370	51	0	13	26	0	4	0	0	0	6
k141_37921	0	11	0	0	27	7	43	1	0	0
k141_350	4	3	5	5	1	11	0	0	16	33
k141_37922	5	0	4	14	1	3	0	1	2	8
k141_63098	0	0	0	0	3	0	33	0	0	0
k141_25381	0	0	0	0	16	1	31	0	0	2
k141_25385	1	2	0	6	0	2	0	1	1	5
k141_37934	0	0	0	0	0	0	0	65	0	0
k141_63113	0	2	0	0	0	0	0	0	34	0
k141_37935	2	3	2	4	4	14	1	0	13	55
k141_63115	1	0	0	0	0	0	0	0	21	0
k141_25394	155	113	181	121	16	13	90	61	91	227
k141_63116	15	24	0	1	6	63	4	23	0	3
k141_37941	58	1	33	38	19	23	0	15	1	56
k141_25397	0	0	0	0	3	1	30	0	0	0
k141_37944	2	2	0	0	0	0	0	0	16	0
k141_37945	0	0	1	0	0	0	0	0	1	15
k141_371	59	0	60	37	9	43	0	0	18	39
k141_25401	0	0	0	103	0	0	16	1	0	2
k141_63130	0	2	0	0	0	1	0	0	22	0
k141_88146	917	793	563	355	119	135	511	385	1	1177
k141_381	23	21	16	15	50	35	20	3	0	14
k141_385	3	7	3	5	15	5	9	0	0	2
k141_25413	7	2	1	3	3	8	0	1	6	12
k141_25414	0	0	0	0	0	0	0	0	0	19
k141_394	0	0	0	0	0	20	0	0	0	0
k141_37954	324	0	377	304	10	4	0	0	109	93
k141_12827	3	404	156	13	209	32	425	2035	9	9
k141_12828	48	0	18	2	0	0	0	0	0	15
k141_405	0	0	2	4	1	0	0	0	1	0
k141_37962	0	0	0	1	5	0	28	0	0	0
k141_88151	538	1	244	26	3	5	1	1	0	162
k141_63131	453	2	474	441	8	11	0	2	134	116
k141_37969	0	0	0	0	8	2	26	0	0	0
k141_63137	0	0	2	6	0	4	2	0	1	4
k141_12836	0	0	0	0	0	0	0	0	66	0
k141_37971	2	0	0	1	0	0	0	0	9	25
k141_63141	0	0	0	0	0	0	0	0	2	13
k141_12840	4	1	0	4	0	24	1	8	0	1
k141_37977	0	0	0	28	0	0	2	0	0	1
k141_63144	6	1	0	1	0	3	0	1	16	4
k141_12841	0	0	1	0	0	0	0	0	0	37
k141_413	0	13	2	0	92	73	3	44	1	2
k141_37982	4	2	5	2	7	2	0	0	6	92
k141_12853	5	22	1	7	9	1	9	55	35	2
k141_88176	0	0	39	168	0	4	0	0	25	7
k141_37986	5	0	1	11	0	2	0	0	1	10
k141_63162	0	0	0	1	1	0	0	0	9	32
k141_88181	22	1	6	7	0	1	0	0	0	2
k141_12855	7	23	7	7	18	6	27	0	1	7
k141_88185	0	0	0	0	0	2	0	0	14	0
k141_37994	0	1	0	0	0	2	0	0	53	1
k141_63174	1	12	0	0	38	26	2	27	0	0
k141_88197	0	0	0	0	0	0	0	0	1	11
k141_38006	0	0	2	0	1	0	0	0	7	29
k141_38009	0	0	0	0	13	0	59	1	0	1
k141_12863	346	0	144	23	0	3	0	0	2	110
