feature	1_RP_001	1_RP_002	1_RP_003	1_RP_004	1_RP_011	1_RP_012	1_RP_013	1_RP_014
213.148682@754.90[]	62464.0117	49149.6914	38047.3516	29524.5293	34080.8281	41738.9297	25192.8398	44734.7617
1097.283799@745.32[2]	66479.4922	536912.6250	116547.6016	51250.4102	260657.4062	70494.8906	58360.4805	83789.0625
358.258912@636.72[]	88518.2891	33994.8398	46214.1914	46185.2812	20380.9297	29297.8203	19956.0000	39674.6992
105.033914@329.42[1]	1814171.0000	1139807.0000	1100338.0000	649823.1875	1386805.0000	1028857.0000	448317.5938	1851367.0000
574.080870@275.86[]	44078.6289	30550.4102	31453.8496	35528.0703	16795.1504	31383.4609	20751.3594	23775.9102
431.097450@442.39[1]	247930.5938	93819.5938	194859.5000	130496.7031	55612.6797	87279.7891	47554.8984	77323.3281
242.099548@154.70[1]	1383685.0000	1565812.0000	1235656.0000	626585.6250	628929.8750	1179274.0000	632133.0000	534546.6250
287.079209@642.79[]	271345.4062	267718.1875	114113.7969	96456.5391	67741.5625	40515.5586	87574.3594	70848.0391
372.347696@792.69[]	18522.0996	14560.7197	15571.5400	12509.1699	11551.8701	13109.0303	15352.5098	643251.8125
666.188512@179.27[1]	109605.7969	53678.1602	30437.0996	25518.5098	15150.9297	30552.3301	23065.0000	26654.3203
179.107068@813.79[]	36476.4609	45384.6289	55684.8594	45810.4492	53094.0898	56550.6406	56599.2891	55523.0117
592.337551@838.52[1]	83188.2422	109240.1016	93981.3516	87301.2500	69741.5781	85253.5312	98593.0391	111942.7031
334.140203@332.55[1]	321652.0000	242507.2031	182827.7031	242063.0000	220682.0938	240619.4062	149508.4062	339748.0938
390.709260@56.42[]	48925.0586	42642.8203	40375.7500	32149.7207	39276.5898	43344.7812	37389.7812	32301.6992
254.094656@689.25[1]	1956551.0000	326866.6875	664221.1875	969298.0000	708828.1250	943372.8125	548319.1875	512061.0938
490.652511@56.22[]	73772.7266	60818.9492	62873.7617	60273.0391	57735.8906	54502.9492	57743.6719	61756.8516
170.033988@49.49[]	45355.6602	37933.8711	40014.8281	27298.1992	27779.3691	37546.6602	35244.8008	27423.4707
544.338610@854.17[1]	2028275.0000	3242718.0000	3058506.0000	1689421.0000	2101607.0000	2202785.0000	2097365.0000	1866616.0000
156.076585@56.55[]	116776.0000	74995.6484	83558.3281	77028.1484	71522.2812	64616.8594	60637.0586	48854.0781
427.117206@297.08[1]	139172.2031	27309.7793	88981.4609	42781.7891	314264.3125	133093.7031	1532946.0000	918132.3750
503.369071@801.36[1]	142906.2969	146135.5000	138521.5938	127581.7969	100841.3984	105654.6016	94964.3594	83865.2969
166.086540@102.18[1]	24020930.0000	19396320.0000	17391790.0000	16938870.0000	16339690.0000	14481850.0000	12937720.0000	11220060.0000
115.075496@297.00[1]	428571.1875	443147.8125	455338.1875	542266.0000	321740.3125	413882.0938	537223.3750	667396.6250
132.101855@396.39[]	158488.5938	84393.3438	71100.2578	52160.1992	89403.7891	80829.5000	46392.4297	55368.3984
447.309767@797.39[]	78795.0312	36689.7305	24634.2500	53645.3711	47820.4883	26227.0898	43738.6719	26536.0801
239.149124@225.93[]	175308.2969	280381.0938	101807.0000	69505.2188	169142.2031	122016.7031	68056.0391	158516.2969
181.033113@51.43[]	31276.7109	26873.3594	25893.7500	32157.9805	51414.6914	32351.0605	25519.6406	35314.9609
539.056377@262.89[1]	247616.0938	113184.8984	112932.2031	95680.2812	95152.6797	107303.3984	116174.2969	93748.4609
612.756659@56.22[]	19735.8105	15724.1797	16912.3105	13658.0400	18639.9609	13601.2598	16556.5898	15142.8203
536.371475@877.58[]	274209.8125	438443.5938	194902.7031	75276.8594	46875.3086	44695.9102	35784.6094	37354.7812
128.107191@396.48[]	154457.7969	78678.2969	63411.9492	45074.9492	81917.8906	68716.9062	36114.2383	47930.4688
265.155331@208.34[]	145073.0000	61472.1094	49712.6211	16981.6602	32797.7891	26485.0508	32656.1406	18254.1309
462.099121@179.44[]	87451.9609	59193.3984	39799.5195	37329.0898	20824.5195	39727.3008	33292.7695	33760.0586
321.241402@812.80[]	34836.3281	26847.9805	28124.2598	32536.1094	19538.1797	32438.6094	29782.9199	55927.1016
187.063164@493.43[]	41098.8711	18871.6191	21018.0195	16803.0293	21031.8398	20278.6309	20510.0195	37184.7695
159.091722@179.27[1]	1187110.0000	886502.8125	802593.3750	755851.1250	829207.1250	793663.1250	771919.3750	842609.6250
159.028062@53.04[]	210717.9062	83527.4375	97275.8125	76684.7969	89056.1172	142588.4062	106287.2969	100197.1016
432.280696@389.79[1]	155941.7969	130800.2969	84057.3125	92478.6328	86916.2266	61055.4609	96101.8125	156051.2031
247.107913@493.35[1]	979998.8125	391577.0000	377745.8125	259238.4062	332719.0938	345446.4062	326275.3125	573654.6875
220.009108@53.37[]	41013.3203	35351.5195	32006.6992	36519.6914	14150.9697	26013.7793	21087.1406	18918.6094
120.045361@370.83[]	29365.7598	20450.5391	15589.6904	19905.7695	19043.5508	17656.8594	15730.6396	25019.8301
314.232640@622.72[]	93279.2031	47550.2500	46912.1719	68967.0078	29476.3398	55861.3008	37827.6914	52271.2695
179.062939@576.10[]	37541.4102	68836.0781	46578.8594	18718.9102	32273.1895	27725.1309	45055.0195	25885.2598
294.173627@799.13[]	28056.6992	19173.1895	21872.8301	24142.5195	23611.5508	26041.0605	26348.7207	36673.6992
279.231887@884.85[]	36514.5391	41144.6602	57457.2500	35624.2305	21152.2793	52923.5312	38248.3086	55555.1914
246.170606@189.22[1]	1895977.0000	1433475.0000	1402480.0000	1461601.0000	1116235.0000	1092885.0000	664895.1250	926382.3750
570.356139@838.44[1]	1716142.0000	2028151.0000	1403380.0000	1165234.0000	777502.6250	943450.6250	995625.1250	1059150.0000
